checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
nochecking,24,existingpaid,radio/tv,1552,<100,4<=X<7,3,malesingle,none,1,car,32,bank,own,1,skilled,2,none,yes,good
<0,12,allpaid,radio/tv,626,<100,1<=X<4,4,femalediv/dep/mar,none,4,realestate,24,bank,own,1,unskilledresident,1,none,yes,bad
nochecking,48,critical/otherexistingcredit,usedcar,8858,noknownsavings,4<=X<7,2,malesingle,none,1,noknownproperty,35,none,forfree,2,skilled,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,repairs,996,noknownsavings,4<=X<7,4,femalediv/dep/mar,none,4,realestate,23,none,own,2,skilled,1,none,yes,good
nochecking,6,allpaid,radio/tv,1750,500<=X<1000,>=7,2,malesingle,none,4,lifeinsurance,45,bank,own,1,unskilledresident,2,none,yes,good
<0,48,existingpaid,radio/tv,6999,<100,4<=X<7,1,malemar/wid,guarantor,1,realestate,34,none,own,2,skilled,1,yes,yes,bad
0<=X<200,12,critical/otherexistingcredit,newcar,1995,100<=X<500,<1,4,malesingle,none,1,car,27,none,own,1,skilled,1,none,yes,good
0<=X<200,9,existingpaid,education,1199,<100,4<=X<7,4,femalediv/dep/mar,none,4,lifeinsurance,67,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,12,existingpaid,radio/tv,1331,<100,<1,2,malesingle,none,1,car,22,stores,own,1,skilled,1,none,yes,bad
0<=X<200,18,nocredits/allpaid,newcar,2278,100<=X<500,<1,3,femalediv/dep/mar,none,3,car,28,none,own,2,skilled,1,none,yes,bad
nochecking,21,nocredits/allpaid,newcar,5003,noknownsavings,1<=X<4,1,femalediv/dep/mar,none,4,lifeinsurance,29,bank,own,2,skilled,1,yes,yes,bad
<0,24,allpaid,furniture/equipment,3552,<100,4<=X<7,3,malesingle,none,4,car,27,bank,own,1,skilled,1,none,yes,bad
0<=X<200,18,critical/otherexistingcredit,furniture/equipment,1928,<100,<1,2,malesingle,none,2,realestate,31,none,own,2,unskilledresident,1,none,yes,bad
<0,24,existingpaid,usedcar,2964,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,49,bank,forfree,1,skilled,2,yes,yes,good
<0,24,allpaid,radio/tv,1546,<100,4<=X<7,4,malesingle,guarantor,4,car,24,bank,rent,1,unskilledresident,1,none,yes,bad
>=200,6,delayedpreviously,radio/tv,683,<100,<1,2,femalediv/dep/mar,none,1,lifeinsurance,29,bank,own,1,skilled,1,none,yes,good
0<=X<200,36,existingpaid,newcar,12389,noknownsavings,1<=X<4,1,malesingle,none,4,noknownproperty,37,none,forfree,1,skilled,1,yes,yes,bad
0<=X<200,24,delayedpreviously,business,4712,noknownsavings,1<=X<4,4,malesingle,none,2,lifeinsurance,37,bank,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,24,delayedpreviously,radio/tv,1553,100<=X<500,4<=X<7,3,femalediv/dep/mar,none,2,lifeinsurance,23,none,rent,2,skilled,1,yes,yes,good
<0,12,existingpaid,newcar,1372,<100,4<=X<7,2,malediv/sep,none,3,car,36,none,own,1,skilled,1,none,yes,bad
nochecking,24,critical/otherexistingcredit,radio/tv,2578,>=1000,>=7,2,malesingle,none,2,car,34,none,own,1,skilled,1,none,yes,good
0<=X<200,48,existingpaid,radio/tv,3979,noknownsavings,4<=X<7,4,malesingle,none,1,car,41,none,own,2,skilled,2,yes,yes,good
<0,48,existingpaid,radio/tv,6758,<100,1<=X<4,3,femalediv/dep/mar,none,2,car,31,none,own,1,skilled,1,yes,yes,bad
<0,24,existingpaid,furniture/equipment,3234,<100,<1,4,femalediv/dep/mar,none,4,realestate,23,none,rent,1,unskilledresident,1,yes,yes,bad
nochecking,30,critical/otherexistingcredit,radio/tv,5954,<100,4<=X<7,3,malesingle,coapplicant,2,car,38,none,own,1,skilled,1,none,yes,good
nochecking,24,existingpaid,usedcar,5433,noknownsavings,unemployed,2,femalediv/dep/mar,none,4,lifeinsurance,26,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,15,existingpaid,business,806,<100,1<=X<4,4,femalediv/dep/mar,none,4,lifeinsurance,22,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,9,existingpaid,radio/tv,1082,<100,>=7,4,malesingle,none,4,car,27,none,own,2,unskilledresident,1,none,yes,good
nochecking,15,critical/otherexistingcredit,furniture/equipment,2788,<100,4<=X<7,2,femalediv/dep/mar,coapplicant,3,car,24,bank,own,2,skilled,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,2930,<100,4<=X<7,2,femalediv/dep/mar,none,1,realestate,27,none,own,1,skilled,1,none,yes,good
nochecking,24,critical/otherexistingcredit,education,1927,noknownsavings,1<=X<4,3,femalediv/dep/mar,none,2,car,33,none,own,2,skilled,1,yes,yes,good
0<=X<200,36,critical/otherexistingcredit,newcar,2820,<100,<1,4,malediv/sep,none,4,car,27,none,own,2,skilled,1,none,yes,bad
nochecking,24,existingpaid,retraining,937,<100,<1,4,malemar/wid,none,3,car,27,none,own,2,unskilledresident,1,none,yes,good
0<=X<200,18,critical/otherexistingcredit,newcar,1056,<100,>=7,3,malesingle,guarantor,3,realestate,30,bank,own,2,skilled,1,none,yes,bad
0<=X<200,12,critical/otherexistingcredit,newcar,3124,<100,<1,1,malesingle,none,3,realestate,49,bank,own,2,unskilledresident,2,none,yes,good
nochecking,9,existingpaid,furniture/equipment,1388,<100,1<=X<4,4,femalediv/dep/mar,none,2,realestate,26,none,rent,1,skilled,1,none,yes,good
0<=X<200,36,existingpaid,repairs,2384,<100,<1,4,malesingle,none,1,noknownproperty,33,none,rent,1,unskilledresident,1,none,yes,bad
nochecking,12,existingpaid,newcar,2133,noknownsavings,>=7,4,femalediv/dep/mar,none,4,noknownproperty,52,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,18,existingpaid,furniture/equipment,2039,<100,1<=X<4,1,femalediv/dep/mar,none,4,realestate,20,bank,rent,1,skilled,1,none,yes,bad
<0,9,critical/otherexistingcredit,newcar,2799,<100,1<=X<4,2,malesingle,none,2,realestate,36,none,rent,2,skilled,2,none,yes,good
<0,12,existingpaid,furniture/equipment,1289,<100,1<=X<4,4,malesingle,guarantor,1,lifeinsurance,21,none,own,1,unskilledresident,1,none,yes,good
<0,18,existingpaid,domesticappliance,1217,<100,1<=X<4,4,malemar/wid,none,3,realestate,47,none,own,1,unskilledresident,1,yes,yes,bad
<0,12,critical/otherexistingcredit,furniture/equipment,2246,<100,>=7,3,malesingle,none,3,lifeinsurance,60,none,own,2,skilled,1,none,yes,bad
<0,12,critical/otherexistingcredit,radio/tv,385,<100,4<=X<7,4,femalediv/dep/mar,none,3,realestate,58,none,own,4,unskilledresident,1,yes,yes,good
0<=X<200,24,delayedpreviously,newcar,1965,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,4,car,42,none,rent,2,skilled,1,yes,yes,good
nochecking,21,existingpaid,business,1572,>=1000,>=7,4,femalediv/dep/mar,none,4,realestate,36,bank,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,existingpaid,newcar,2718,<100,1<=X<4,3,femalediv/dep/mar,none,4,lifeinsurance,20,none,rent,1,unskilledresident,1,yes,yes,bad
<0,24,allpaid,other,1358,noknownsavings,>=7,4,malesingle,none,3,car,40,stores,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,6,allpaid,newcar,931,100<=X<500,<1,1,femalediv/dep/mar,none,1,lifeinsurance,32,stores,own,1,unskilledresident,1,none,yes,bad
<0,24,existingpaid,newcar,1442,<100,4<=X<7,4,femalediv/dep/mar,none,4,car,23,none,rent,2,skilled,1,none,yes,bad
0<=X<200,24,nocredits/allpaid,business,4241,<100,1<=X<4,1,malesingle,none,4,realestate,36,none,own,3,unskilledresident,1,yes,yes,bad
nochecking,18,critical/otherexistingcredit,newcar,2775,<100,4<=X<7,2,malesingle,none,2,lifeinsurance,31,bank,own,2,skilled,1,none,yes,bad
nochecking,24,delayedpreviously,business,3863,<100,1<=X<4,1,malesingle,none,2,noknownproperty,32,none,forfree,1,skilled,1,none,yes,good
0<=X<200,7,existingpaid,radio/tv,2329,<100,<1,1,femalediv/dep/mar,guarantor,1,realestate,45,none,own,1,skilled,1,none,yes,good
0<=X<200,9,existingpaid,furniture/equipment,918,<100,1<=X<4,4,femalediv/dep/mar,none,1,lifeinsurance,30,none,own,1,skilled,1,none,yes,bad
0<=X<200,24,allpaid,education,1837,<100,4<=X<7,4,femalediv/dep/mar,none,4,noknownproperty,34,bank,forfree,1,unskilledresident,1,none,yes,bad
nochecking,36,existingpaid,furniture/equipment,3349,<100,1<=X<4,4,femalediv/dep/mar,none,2,car,28,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
>=200,10,existingpaid,furniture/equipment,1275,<100,<1,4,femalediv/dep/mar,none,2,lifeinsurance,23,none,own,1,skilled,1,none,yes,good
<0,24,allpaid,furniture/equipment,2828,500<=X<1000,1<=X<4,4,malesingle,none,4,realestate,22,stores,own,1,skilled,1,yes,yes,good
nochecking,24,critical/otherexistingcredit,business,4526,<100,1<=X<4,3,malesingle,none,2,realestate,74,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,36,existingpaid,radio/tv,2671,100<=X<500,1<=X<4,4,femalediv/dep/mar,coapplicant,4,noknownproperty,50,none,forfree,1,skilled,1,none,yes,bad
nochecking,18,existingpaid,radio/tv,2051,<100,<1,4,malesingle,none,1,realestate,33,none,own,1,skilled,1,none,yes,good
nochecking,15,existingpaid,usedcar,1300,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,45,bank,forfree,1,skilled,2,none,yes,good
<0,12,existingpaid,domesticappliance,741,100<=X<500,unemployed,4,femalediv/dep/mar,none,3,lifeinsurance,22,none,own,1,skilled,1,none,yes,bad
>=200,10,existingpaid,newcar,1240,100<=X<500,>=7,1,femalediv/dep/mar,none,4,noknownproperty,48,none,forfree,1,unskilledresident,2,none,yes,bad
<0,21,existingpaid,radio/tv,3357,>=1000,<1,4,femalediv/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
<0,24,allpaid,usedcar,3632,<100,1<=X<4,1,femalediv/dep/mar,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,good
nochecking,18,delayedpreviously,furniture/equipment,1808,<100,4<=X<7,4,femalediv/dep/mar,none,1,realestate,22,none,own,1,skilled,1,none,yes,bad
0<=X<200,48,nocredits/allpaid,business,12204,noknownsavings,1<=X<4,2,malesingle,none,2,car,48,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,60,delayedpreviously,radio/tv,9157,noknownsavings,1<=X<4,2,malesingle,none,2,noknownproperty,27,none,forfree,1,highqualif/selfemp/mgmt,1,none,yes,good
<0,6,critical/otherexistingcredit,newcar,3676,<100,1<=X<4,1,malesingle,none,3,realestate,37,none,rent,3,skilled,2,none,yes,good
0<=X<200,30,existingpaid,furniture/equipment,3441,100<=X<500,1<=X<4,2,femalediv/dep/mar,coapplicant,4,car,21,none,rent,1,skilled,1,none,yes,bad
nochecking,12,existingpaid,newcar,640,<100,1<=X<4,4,malediv/sep,none,2,realestate,49,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,21,critical/otherexistingcredit,business,3652,<100,4<=X<7,2,malesingle,none,3,lifeinsurance,27,none,own,2,skilled,1,none,yes,good
nochecking,18,critical/otherexistingcredit,newcar,1530,<100,1<=X<4,3,malesingle,none,2,lifeinsurance,32,bank,own,2,skilled,1,none,yes,bad
nochecking,48,existingpaid,business,3914,noknownsavings,1<=X<4,4,malediv/sep,none,2,realestate,38,bank,own,1,skilled,1,none,yes,bad
<0,12,existingpaid,furniture/equipment,1858,<100,<1,4,femalediv/dep/mar,none,1,car,22,none,rent,1,skilled,1,none,yes,good
<0,18,existingpaid,radio/tv,2600,<100,1<=X<4,4,malesingle,none,4,noknownproperty,65,none,forfree,2,skilled,1,none,yes,bad
nochecking,15,existingpaid,radio/tv,1979,noknownsavings,>=7,4,malesingle,none,2,car,35,none,own,1,skilled,1,none,yes,good
>=200,6,existingpaid,furniture/equipment,2116,<100,1<=X<4,2,malesingle,none,2,realestate,41,none,own,1,skilled,1,yes,yes,good
0<=X<200,9,allpaid,newcar,1437,100<=X<500,4<=X<7,2,malesingle,none,3,noknownproperty,29,none,own,1,skilled,1,none,yes,bad
nochecking,42,critical/otherexistingcredit,furniture/equipment,4042,500<=X<1000,1<=X<4,4,malesingle,none,4,realestate,36,none,own,2,skilled,1,yes,yes,good
nochecking,9,existingpaid,education,3832,noknownsavings,>=7,1,malesingle,none,4,realestate,64,none,own,1,unskilledresident,1,none,yes,good
<0,24,existingpaid,radio/tv,3660,<100,1<=X<4,2,femalediv/dep/mar,none,4,car,28,none,own,1,skilled,1,none,yes,good
<0,18,allpaid,furniture/equipment,1553,<100,1<=X<4,4,malesingle,none,3,car,44,bank,own,1,skilled,1,none,yes,bad
0<=X<200,15,existingpaid,radio/tv,1444,noknownsavings,<1,4,malesingle,none,1,lifeinsurance,23,none,own,1,skilled,1,none,yes,good
nochecking,9,existingpaid,furniture/equipment,1980,<100,<1,2,femalediv/dep/mar,coapplicant,2,car,19,none,rent,2,skilled,1,none,yes,bad
0<=X<200,24,existingpaid,newcar,1355,<100,<1,3,femalediv/dep/mar,none,4,car,25,none,own,1,unskilledresident,1,yes,yes,bad
nochecking,12,existingpaid,education,1393,<100,>=7,4,malesingle,none,4,lifeinsurance,47,bank,own,3,skilled,2,yes,yes,good
nochecking,24,existingpaid,radio/tv,1376,500<=X<1000,4<=X<7,4,femalediv/dep/mar,none,1,car,28,none,own,1,skilled,1,none,yes,good
nochecking,60,delayedpreviously,radio/tv,15653,<100,4<=X<7,2,malesingle,none,4,car,21,none,own,2,skilled,1,yes,yes,good
nochecking,12,existingpaid,radio/tv,1493,<100,<1,4,femalediv/dep/mar,none,3,car,34,none,own,1,skilled,2,none,yes,good
<0,42,delayedpreviously,radio/tv,4370,<100,4<=X<7,3,malesingle,none,2,lifeinsurance,26,bank,own,2,skilled,2,yes,yes,bad
<0,18,existingpaid,education,750,<100,unemployed,4,femalediv/dep/mar,none,1,realestate,27,none,own,1,unemp/unskillednonres,1,none,yes,bad
0<=X<200,15,existingpaid,repairs,1308,<100,>=7,4,malesingle,none,4,car,38,none,own,2,unskilledresident,1,none,yes,good
nochecking,15,existingpaid,education,4623,100<=X<500,1<=X<4,3,malesingle,none,2,lifeinsurance,40,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,24,critical/otherexistingcredit,radio/tv,1851,<100,4<=X<7,4,malemar/wid,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,good
<0,18,critical/otherexistingcredit,radio/tv,1880,<100,4<=X<7,4,malemar/wid,none,1,lifeinsurance,32,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,36,delayedpreviously,business,7980,noknownsavings,<1,4,malesingle,none,4,car,27,none,rent,2,skilled,1,yes,yes,bad
<0,30,nocredits/allpaid,furniture/equipment,4583,<100,1<=X<4,2,malediv/sep,guarantor,2,realestate,32,none,own,2,skilled,1,none,yes,good
nochecking,12,existingpaid,newcar,1386,500<=X<1000,1<=X<4,2,femalediv/dep/mar,none,2,lifeinsurance,26,none,own,1,skilled,1,none,yes,bad
>=200,24,existingpaid,newcar,947,<100,4<=X<7,4,malesingle,none,3,noknownproperty,38,bank,forfree,1,skilled,2,none,yes,bad
<0,12,existingpaid,education,684,<100,1<=X<4,4,malesingle,none,4,car,40,none,rent,1,unskilledresident,2,none,yes,bad
<0,48,existingpaid,education,7476,<100,4<=X<7,4,malesingle,none,1,noknownproperty,50,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,12,existingpaid,furniture/equipment,1922,<100,1<=X<4,4,malesingle,none,2,lifeinsurance,37,none,own,1,unskilledresident,1,none,yes,bad
<0,24,existingpaid,newcar,2303,<100,>=7,4,malesingle,coapplicant,1,realestate,45,none,own,1,skilled,1,none,yes,bad
0<=X<200,36,delayedpreviously,newcar,8086,100<=X<500,>=7,2,malesingle,none,4,car,42,none,own,4,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,24,critical/otherexistingcredit,usedcar,2346,<100,4<=X<7,4,malesingle,none,3,car,35,none,own,2,skilled,1,yes,yes,good
<0,14,existingpaid,newcar,3973,<100,unemployed,1,malesingle,none,4,noknownproperty,22,none,forfree,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,newcar,888,<100,>=7,4,malesingle,none,4,car,41,bank,own,1,unskilledresident,2,none,yes,bad
nochecking,48,existingpaid,radio/tv,10222,noknownsavings,4<=X<7,4,malesingle,none,3,car,37,stores,own,1,skilled,1,yes,yes,good
0<=X<200,30,nocredits/allpaid,business,4221,<100,1<=X<4,2,femalediv/dep/mar,none,1,car,28,none,own,2,skilled,1,none,yes,good
0<=X<200,18,critical/otherexistingcredit,furniture/equipment,6361,<100,>=7,2,malesingle,none,1,noknownproperty,41,none,own,1,skilled,1,yes,yes,good
>=200,12,existingpaid,radio/tv,1297,<100,1<=X<4,3,malemar/wid,none,4,realestate,23,none,rent,1,skilled,1,none,yes,good
<0,12,existingpaid,newcar,900,noknownsavings,1<=X<4,4,malemar/wid,none,2,car,23,none,own,1,skilled,1,none,yes,bad
nochecking,21,existingpaid,furniture/equipment,2241,<100,>=7,4,malesingle,none,2,realestate,50,none,own,2,skilled,1,none,yes,good
0<=X<200,6,delayedpreviously,furniture/equipment,1050,<100,unemployed,4,malesingle,none,1,lifeinsurance,35,stores,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,6,critical/otherexistingcredit,education,1047,<100,1<=X<4,2,femalediv/dep/mar,none,4,lifeinsurance,50,none,own,1,unskilledresident,1,none,yes,good
nochecking,24,critical/otherexistingcredit,other,6314,<100,unemployed,4,malesingle,coapplicant,2,noknownproperty,27,bank,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,30,allpaid,furniture/equipment,3496,>=1000,1<=X<4,4,malesingle,none,2,car,34,stores,own,1,skilled,2,yes,yes,good
nochecking,48,allpaid,business,3609,<100,1<=X<4,1,femalediv/dep/mar,none,1,realestate,27,stores,own,1,skilled,1,none,yes,good
<0,12,critical/otherexistingcredit,newcar,4843,<100,>=7,3,malesingle,coapplicant,4,lifeinsurance,43,none,rent,2,skilled,1,yes,yes,bad
>=200,30,critical/otherexistingcredit,radio/tv,3017,<100,>=7,4,malesingle,none,4,lifeinsurance,47,none,own,1,skilled,1,none,yes,good
nochecking,24,critical/otherexistingcredit,business,4139,100<=X<500,1<=X<4,3,malesingle,none,3,lifeinsurance,27,none,own,2,unskilledresident,1,yes,yes,good
nochecking,36,existingpaid,business,5742,100<=X<500,4<=X<7,2,malesingle,none,2,car,31,none,own,2,skilled,1,yes,yes,good
nochecking,60,existingpaid,newcar,10366,<100,>=7,2,malesingle,none,4,lifeinsurance,42,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,6,critical/otherexistingcredit,newcar,2080,500<=X<1000,1<=X<4,1,malemar/wid,none,2,car,24,none,own,1,skilled,1,none,yes,good
nochecking,21,delayedpreviously,business,2580,500<=X<1000,<1,4,malesingle,none,2,realestate,41,bank,own,1,unskilledresident,2,none,yes,bad
nochecking,30,critical/otherexistingcredit,radio/tv,4530,<100,4<=X<7,4,femalediv/dep/mar,none,4,car,26,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,24,critical/otherexistingcredit,furniture/equipment,5150,<100,>=7,4,malesingle,none,4,car,33,none,own,1,skilled,1,yes,yes,good
0<=X<200,72,existingpaid,radio/tv,5595,100<=X<500,1<=X<4,2,malemar/wid,none,2,car,24,none,own,1,skilled,1,none,yes,bad
<0,24,existingpaid,radio/tv,2384,<100,>=7,4,malesingle,none,4,realestate,64,bank,rent,1,unskilledresident,1,none,yes,good
nochecking,18,existingpaid,radio/tv,1453,<100,<1,3,femalediv/dep/mar,none,1,realestate,26,none,own,1,skilled,1,none,yes,good
nochecking,6,existingpaid,education,1538,<100,<1,1,femalediv/dep/mar,none,2,noknownproperty,56,none,own,1,skilled,1,none,yes,good
nochecking,12,existingpaid,radio/tv,2279,noknownsavings,1<=X<4,4,malesingle,none,4,noknownproperty,37,none,forfree,1,skilled,1,yes,yes,good
nochecking,15,delayedpreviously,radio/tv,1478,<100,1<=X<4,4,malemar/wid,none,3,realestate,33,bank,own,2,skilled,1,none,yes,good
nochecking,24,critical/otherexistingcredit,radio/tv,5103,<100,<1,3,malemar/wid,none,3,noknownproperty,47,none,forfree,3,skilled,1,yes,yes,good
0<=X<200,36,delayedpreviously,business,9857,100<=X<500,4<=X<7,1,malesingle,none,3,lifeinsurance,31,none,own,2,unskilledresident,2,yes,yes,good
nochecking,60,existingpaid,newcar,6527,noknownsavings,1<=X<4,4,malesingle,none,4,noknownproperty,34,none,forfree,1,skilled,2,yes,yes,good
>=200,10,critical/otherexistingcredit,radio/tv,1347,noknownsavings,4<=X<7,4,malesingle,none,2,lifeinsurance,27,none,own,2,skilled,1,yes,yes,good
0<=X<200,36,delayedpreviously,newcar,2862,100<=X<500,>=7,4,malesingle,none,3,noknownproperty,30,none,forfree,1,skilled,1,none,yes,good
nochecking,9,existingpaid,radio/tv,2753,100<=X<500,>=7,3,malesingle,coapplicant,4,car,35,none,own,1,skilled,1,yes,yes,good
<0,12,existingpaid,newcar,3651,>=1000,1<=X<4,1,malesingle,none,3,lifeinsurance,31,none,own,1,skilled,2,none,yes,good
<0,15,critical/otherexistingcredit,furniture/equipment,975,<100,1<=X<4,2,malediv/sep,none,3,lifeinsurance,25,none,own,2,skilled,1,none,yes,good
0<=X<200,15,existingpaid,repairs,2631,100<=X<500,1<=X<4,3,femalediv/dep/mar,none,2,realestate,25,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,existingpaid,radio/tv,2896,100<=X<500,<1,2,malesingle,none,1,car,29,none,own,1,skilled,1,none,yes,good
<0,6,critical/otherexistingcredit,newcar,4716,noknownsavings,<1,1,malesingle,none,3,realestate,44,none,own,2,unskilledresident,2,none,yes,good
nochecking,24,existingpaid,radio/tv,2284,<100,4<=X<7,4,malesingle,none,2,car,28,none,own,1,skilled,1,yes,yes,good
nochecking,6,existingpaid,usedcar,1236,500<=X<1000,1<=X<4,2,malesingle,none,4,lifeinsurance,50,none,rent,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,1103,<100,4<=X<7,4,malesingle,guarantor,3,realestate,29,none,own,2,skilled,1,none,no,good
nochecking,12,critical/otherexistingcredit,newcar,926,<100,unemployed,1,femalediv/dep/mar,none,2,lifeinsurance,38,none,own,1,unemp/unskillednonres,1,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,1800,<100,1<=X<4,4,malesingle,none,2,car,24,none,own,2,skilled,1,none,yes,good
>=200,15,existingpaid,education,1905,<100,>=7,4,malesingle,none,4,car,40,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,furniture/equipment,1123,500<=X<1000,1<=X<4,4,femalediv/dep/mar,none,4,car,29,none,rent,1,unskilledresident,1,none,yes,bad
<0,48,critical/otherexistingcredit,usedcar,6331,<100,>=7,4,malesingle,none,4,noknownproperty,46,none,forfree,2,skilled,1,yes,yes,bad
>=200,24,existingpaid,radio/tv,1377,100<=X<500,>=7,4,femalediv/dep/mar,none,2,noknownproperty,47,none,forfree,1,skilled,1,yes,yes,good
0<=X<200,30,delayedpreviously,business,2503,100<=X<500,>=7,4,malesingle,none,2,lifeinsurance,41,stores,own,2,skilled,1,none,yes,good
0<=X<200,27,existingpaid,business,2528,<100,<1,4,femalediv/dep/mar,none,1,lifeinsurance,32,none,own,1,skilled,2,yes,yes,good
nochecking,15,existingpaid,newcar,5324,500<=X<1000,>=7,1,femalediv/dep/mar,none,4,noknownproperty,35,none,forfree,1,skilled,1,none,yes,good
0<=X<200,48,existingpaid,newcar,6560,100<=X<500,4<=X<7,3,malesingle,none,2,lifeinsurance,24,none,own,1,skilled,1,none,yes,bad
0<=X<200,12,nocredits/allpaid,furniture/equipment,2969,<100,<1,4,femalediv/dep/mar,none,3,lifeinsurance,25,none,rent,2,skilled,1,none,yes,bad
0<=X<200,9,existingpaid,radio/tv,1206,<100,>=7,4,femalediv/dep/mar,none,4,realestate,25,none,own,1,skilled,1,none,yes,good
0<=X<200,9,existingpaid,radio/tv,2118,<100,1<=X<4,2,malesingle,none,2,realestate,37,none,own,1,unskilledresident,2,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,629,500<=X<1000,>=7,4,malesingle,none,3,lifeinsurance,32,bank,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
<0,6,allpaid,education,1198,<100,>=7,4,femalediv/dep/mar,none,4,noknownproperty,35,none,forfree,1,skilled,1,none,yes,bad
nochecking,21,existingpaid,usedcar,2476,noknownsavings,>=7,4,malesingle,none,4,realestate,46,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,9,critical/otherexistingcredit,radio/tv,1138,<100,1<=X<4,4,malesingle,none,4,realestate,25,none,own,2,unskilledresident,1,none,yes,good
0<=X<200,60,existingpaid,newcar,14027,<100,4<=X<7,4,malesingle,none,2,noknownproperty,27,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,30,critical/otherexistingcredit,usedcar,7596,noknownsavings,>=7,1,malesingle,none,4,car,63,none,own,2,skilled,1,none,yes,good
nochecking,30,critical/otherexistingcredit,radio/tv,3077,noknownsavings,>=7,3,malesingle,none,2,car,40,none,own,2,skilled,2,yes,yes,good
nochecking,18,existingpaid,radio/tv,1505,<100,1<=X<4,4,malesingle,none,2,noknownproperty,32,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,24,critical/otherexistingcredit,radio/tv,3148,noknownsavings,1<=X<4,3,malesingle,none,2,car,31,none,own,2,skilled,1,yes,yes,good
0<=X<200,20,nocredits/allpaid,usedcar,6148,100<=X<500,>=7,3,malemar/wid,none,4,car,31,bank,own,2,skilled,1,yes,yes,good
>=200,9,nocredits/allpaid,radio/tv,1337,<100,<1,4,malesingle,none,2,car,34,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,6,allpaid,education,433,>=1000,<1,4,femalediv/dep/mar,none,2,lifeinsurance,24,bank,rent,1,skilled,2,none,yes,bad
<0,12,existingpaid,newcar,1228,<100,1<=X<4,4,femalediv/dep/mar,none,2,realestate,24,none,own,1,unskilledresident,1,none,yes,bad
0<=X<200,9,existingpaid,radio/tv,790,500<=X<1000,1<=X<4,4,femalediv/dep/mar,none,3,realestate,66,none,own,1,unskilledresident,1,none,yes,good
nochecking,27,existingpaid,newcar,2570,<100,1<=X<4,3,femalediv/dep/mar,none,3,realestate,21,none,rent,1,skilled,1,none,yes,bad
nochecking,6,critical/otherexistingcredit,newcar,250,>=1000,1<=X<4,2,femalediv/dep/mar,none,2,realestate,41,bank,own,2,unskilledresident,1,none,yes,good
nochecking,15,critical/otherexistingcredit,radio/tv,1316,500<=X<1000,1<=X<4,2,malemar/wid,none,2,lifeinsurance,47,none,own,2,unskilledresident,1,none,yes,good
<0,18,existingpaid,radio/tv,1882,<100,1<=X<4,4,femalediv/dep/mar,none,4,car,25,bank,rent,2,skilled,1,none,yes,bad
0<=X<200,48,allpaid,business,6416,<100,>=7,4,femalediv/dep/mar,none,3,noknownproperty,59,none,rent,1,skilled,1,none,yes,bad
>=200,24,critical/otherexistingcredit,business,1275,>=1000,1<=X<4,2,malediv/sep,none,4,realestate,36,none,own,2,skilled,1,yes,yes,good
